"","X","species_code","scientific_name","common_name.x","group","order","family","CCS.max","habitat_score","habitat_comment","bodymass","predicted_defecation_rate","est_axial_length","wingloading_quantile"
"164",287,"libher","Egretta caerulea","Little Blue Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",338.61,12.7487298778885,5.21845201973692,3
"165",289,"rosspo1","Platalea ajaja","Roseate Spoonbill","waterbird","Pelecaniformes","Threskiornithidae",9,3,"",1490,43.189434257709,6.72765414863592,4
"166",291,"triher","Egretta tricolor","Tricolored Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",372.3,13.7844528507806,5.83770421181828,3
"167",292,"whfibi","Plegadis chihi","White-faced Ibis","waterbird","Pelecaniformes","Threskiornithidae",7,3,"",616.89,20.8927209142772,6.02490275392739,4
"168",293,"whiibi","Eudocimus albus","White Ibis","waterbird","Pelecaniformes","Threskiornithidae",9,3,"",889.66,28.245211043077,6.02490275392739,4
"169",296,"dowwoo","Dryobates pubescens","Downy Woodpecker","landbird","Piciformes","Picidae",8,1,"",25.55,1.51791160221956,6.01703058642428,2
"170",298,"norfli","Colaptes auratus","Northern Flicker","landbird","Piciformes","Picidae",10,1,"",131.46,5.84905951153388,7.11634998015758,3
"171",300,"rebwoo","Melanerpes carolinus","Red-bellied Woodpecker","landbird","Piciformes","Picidae",7,1,"",69.5,3.46046292816149,8.13361907178522,3
"172",302,"yebsap","Sphyrapicus varius","Yellow-bellied Sapsucker","landbird","Piciformes","Picidae",7,1,"",50.3,2.65155759674416,5.86161437766862,2
"173",304,"horgre","Podiceps auritus","Horned Grebe","waterbird","Podicipediformes","Podicipedidae",13,5,"",453,16.2015257889103,6.34033535458509,5
"174",306,"pibgre","Podilymbus podiceps","Pied-billed Grebe","waterbird","Podicipediformes","Podicipedidae",8,5,"",411.93,14.9818749847865,5.90363980656791,5
"175",307,"rengre","Podiceps grisegena","Red-necked Grebe","waterbird","Podicipediformes","Podicipedidae",9,5,"",1023,31.6877455032652,6.19991022480679,5
"176",308,"wesgre","Aechmophorus occidentalis","Western Grebe","waterbird","Podicipediformes","Podicipedidae",12,5,"",1136.95,34.5670035600107,7.3634941286965,5
"177",309,"brdowl","Strix varia","Barred Owl","landbird","Strigiformes","Strigidae",7,1,"",711.49,23.4974045176237,11.1461142865064,3
"178",310,"brnowl","Tyto alba","Barn Owl","landbird","Strigiformes","Tytonidae",8,1,"",403.32,14.7235204728427,19.71336550486,3
"179",311,"easowl1","Megascops asio","Eastern Screech-Owl","landbird","Strigiformes","Strigidae",9,1,"",179.99,7.57628693237343,6.44667683068519,4
"180",312,"grhowl","Bubo virginianus","Great Horned Owl","landbird","Strigiformes","Strigidae",8,1,"",1575.7,45.2249462487669,5.94483857663598,4
"181",313,"loeowl","Asio otus","Long-eared Owl","landbird","Strigiformes","Strigidae",10,1,"",296.57,11.4302561041937,7.16887987222054,2
"182",314,"nswowl","Aegolius acadicus","Northern Saw-whet Owl","landbird","Strigiformes","Strigidae",8,1,"",100.69,4.69589993717738,7.74382237182593,3
"183",315,"sheowl","Asio flammeus","Short-eared Owl","landbird","Strigiformes","Strigidae",12,1,"",322.61,12.2505435048648,7.84422449393377,3
"184",316,"snoowl1","Bubo scandiacus","Snowy Owl","landbird","Strigiformes","Strigidae",13,1,"",2028.76,55.6881733879561,8.64446876757899,4
"185",317,"anhing","Anhinga anhinga","Anhinga","waterbird","Suliformes","Anhingidae",8,3,"",1235,37.003808912079,10.7547197434919,5
"186",318,"doccor","Nannopterum auritum","Double-crested Cormorant","waterbird","Suliformes","Phalacrocoracidae",8,3,"",1806.49,50.6130652207433,7.18806292054423,5
"187",319,"grecor","Phalacrocorax carbo","Great Cormorant","waterbird","Suliformes","Phalacrocoracidae",10,3,"",2528.97,66.7701809660338,8.65467741052655,5
"188",410,"amewig","Mareca americana","American Wigeon","waterfowl","Anseriformes","Anatidae",10,4,"",754.61,24.6639931077488,6.56068571395832,5
"189",5,"bargol","Bucephala islandica","Barrow's Goldeneye","waterfowl","Anseriformes","Anatidae",13,5,"""Prefers open water without emergent or dense submerged vegetation.""",921.21,29.0675305422501,10.2768483372431,5
"190",610,"bbwduc","Dendrocygna autumnalis","Black-bellied Whistling-Duck","waterfowl","Anseriformes","Anatidae",8,4,"",755.3,24.6825633710798,9.50701614088028,5
"191",710,"blksco2","Melanitta americana","Black Scoter","waterfowl","Anseriformes","Anatidae",13,5,"""Feeds in open water; usually avoids dense aquatic vegetation which is rare in its breeding areas.""",1049.98,32.3743698076666,6.38080023746333,5
"192",84,"cacgoo1","Branta hutchinsii","Cackling Goose","waterfowl","Anseriformes","Anatidae",10,4,"",2811.68,72.8587655879555,14.4655916584014,5
"193",96,"canvas","Aythya valisineria","Canvasback","waterfowl","Anseriformes","Anatidae",10,4,"",1202,36.1876206298881,8.24412670675127,5
"194",101,"cintea","Spatula cyanoptera","Cinnamon Teal","waterfowl","Anseriformes","Anatidae",12,4,"",377.45,13.941286504549,5.30815039530945,5
"195",1110,"fuwduc","Dendrocygna bicolor","Fulvous Whistling-Duck","waterfowl","Anseriformes","Anatidae",9,4,"",756.37,24.7113548156775,5.81003591791667,5
"196",12,"hoomer","Lophodytes cucullatus","Hooded Merganser","waterfowl","Anseriformes","Anatidae",8,5,"",613.77,20.8056648113409,6.98001477904956,5
"197",134,"motduc","Anas fulvigula","Mottled Duck","waterfowl","Anseriformes","Anatidae",17,4,"",843.42,27.0306179016566,8.16848177573457,5
"198",14,"redhea","Aythya americana","Redhead","waterfowl","Anseriformes","Anatidae",8,4,"",1075.69,33.025780627843,8.37431306958188,5
"199",15,"rosgoo","Anser rossii","Ross's Goose","waterfowl","Anseriformes","Anatidae",12,4,"",1635.99,46.6451990651683,10.0774787335599,5
"200",16,"snogoo","Anser caerulescens","Snow Goose","waterfowl","Anseriformes","Anatidae",10,4,"",2636.15,69.0919281369719,8.13361907178522,5
"201",17,"sursco","Melanitta perspicillata","Surf Scoter","waterfowl","Anseriformes","Anatidae",11,4,"",1096.33,33.546745316168,6.42055451255225,5
"202",182,"truswa","Cygnus buccinator","Trumpeter Swan","waterfowl","Anseriformes","Anatidae",11,4,"",11071.13,225.24231397999,8.03201852340158,5
"203",195,"whwsco2","Melanitta deglandi","White-winged Scoter","waterfowl","Anseriformes","Anatidae",12,4,"",1800.17,50.4672034180343,6.7161108286663,5
"204",46,"bkbcuc","Coccyzus erythropthalmus","Black-billed Cuckoo","landbird","Cuculiformes","Cuculidae",12,1,"",50.9,2.67757669320179,6.10207569673346,2
"205",481,"pacloo","Gavia pacifica","Pacific Loon","waterbird","Gaviiformes","Gaviidae",10,5,"",2251.1,60.6674281099075,8.24931668977823,5
"206",511,"sancra","Antigone canadensis","Sandhill Crane","waterbird","Gruiformes","Gruidae",8,3,"",4296.22,103.301110258141,7.34557743247428,5
"207",521,"acafly","Empidonax virescens","Acadian Flycatcher","landbird","Passeriformes","Tyrannidae",10,1,"",12.6,0.848038299053881,7.76926708382865,1
"208",531,"aldfly","Empidonax alnorum","Alder Flycatcher","landbird","Passeriformes","Tyrannidae",8,1,"",12.7,0.853576959604265,6.14857501682379,1
"209",571,"belvir","Vireo bellii","Bell's Vireo","landbird","Passeriformes","Vireonidae",10,1,"",8.5,0.613249140000994,6.65635185529436,2
"210",60,"blugrb1","Passerina caerulea","Blue Grosbeak","landbird","Passeriformes","Cardinalidae",7,1,"",27.39,1.60737453799603,6.57301371931635,2
"211",611,"bnhnut","Sitta pusilla","Brown-headed Nuthatch","landbird","Passeriformes","Sittidae",13,1,"",10.2,0.712594783904459,7.86950771558461,2
"212",64,"brncre","Certhia americana","Brown Creeper","landbird","Passeriformes","Certhiidae",8,1,"",8.1,0.589383390433892,6.01860734269289,1
"213",691,"carwre","Thryothorus ludovicianus","Carolina Wren","landbird","Passeriformes","Troglodytidae",7,1,"",18.96,1.18729884172231,6.87287898639474,2
"214",74,"dickci","Spiza americana","Dickcissel","landbird","Passeriformes","Cardinalidae",10,1,"",26.18,1.54866706478032,9.24922187490086,2
"215",751,"easkin","Tyrannus tyrannus","Eastern Kingbird","landbird","Passeriformes","Tyrannidae",11,2,"",39.85,2.18883305519849,7.20710275328945,1
"216",761,"eawpew","Contopus virens","Eastern Wood-Pewee","landbird","Passeriformes","Tyrannidae",9,1,"",13.9,0.919460285603973,5.70282458101409,1
"217",79,"grcfly","Myiarchus crinitus","Great Crested Flycatcher","landbird","Passeriformes","Tyrannidae",8,1,"",32.1,1.83175288251093,6.1411420375907,1
"218",831,"horlar","Eremophila alpestris","Horned Lark","landbird","Passeriformes","Alaudidae",9,1,"",33.33,1.88936061024788,6.2768382726437,2
"219",861,"leafly","Empidonax minimus","Least Flycatcher","landbird","Passeriformes","Tyrannidae",11,1,"",10,0.701068420207434,5.69363002545174,1
"220",88,"marwre","Cistothorus palustris","Marsh Wren","landbird","Passeriformes","Troglodytidae",7,2,"",10.8,0.746938490925969,8.79902944641275,2
"221",91,"norcar","Cardinalis cardinalis","Northern Cardinal","landbird","Passeriformes","Cardinalidae",6,1,"",42.64,2.31427172481778,9.10081924164898,2
"222",94,"olsfly","Contopus cooperi","Olive-sided Flycatcher","landbird","Passeriformes","Tyrannidae",13,1,"",32.1,1.83175288251093,5.64701740629708,1
"223",971,"phivir","Vireo philadelphicus","Philadelphia Vireo","landbird","Passeriformes","Vireonidae",9,1,"",11.5,0.78658385203042,9.9237776077781,2
"224",1021,"rebnut","Sitta canadensis","Red-breasted Nuthatch","landbird","Passeriformes","Sittidae",7,1,"",9.8,0.689501293395025,6.84013152869038,2
"225",105,"scatan","Piranga olivacea","Scarlet Tanager","landbird","Passeriformes","Cardinalidae",12,1,"",28.2,1.64641826823033,6.77214800032371,2
"226",106,"sedwre1","Cistothorus stellaris","Sedge Wren","landbird","Passeriformes","Troglodytidae",9,1,"",9.04,0.645156597898029,8.16848177573457,2
"227",1071,"sumtan","Piranga rubra","Summer Tanager","landbird","Passeriformes","Cardinalidae",8,1,"",29.13,1.69100313637401,7.16309664942319,2
"228",1101,"warvir","Vireo gilvus","Warbling Vireo","landbird","Passeriformes","Vireonidae",8,1,"",12.67,0.851916172367224,5.88693101563239,2
"229",1111,"whbnut","Sitta carolinensis","White-breasted Nuthatch","landbird","Passeriformes","Sittidae",6,1,"",21,1.29153960915151,7.10057371261168,2
"230",113,"whevir","Vireo griseus","White-eyed Vireo","landbird","Passeriformes","Vireonidae",7,1,"",11.4,0.780946896017872,6.0653779563597,2
"231",1151,"wilfly","Empidonax traillii","Willow Flycatcher","landbird","Passeriformes","Tyrannidae",10,1,"",13.39,0.891587776792001,6.24297759443162,1
"232",1161,"winwre3","Troglodytes hiemalis","Winter Wren","landbird","Passeriformes","Troglodytidae",12,1,"",9.74,0.686023061079328,9.46768164638624,2
"233",1191,"yebfly","Empidonax flaviventris","Yellow-bellied Flycatcher","landbird","Passeriformes","Tyrannidae",10,1,"",11.8,0.803443198751618,6.40738023382252,1
"234",121,"yetvir","Vireo flavifrons","Yellow-throated Vireo","landbird","Passeriformes","Vireonidae",10,1,"",18,1.13756730999887,6.28382815039792,2
"235",1311,"clagre","Aechmophorus clarkii","Clark's Grebe","waterbird","Podicipediformes","Podicipedidae",11,5,"",1090.93,33.4106149139689,5.6089308375772,5
"236",1321,"leagre","Tachybaptus dominicus","Least Grebe","waterbird","Podicipediformes","Podicipedidae",8,5,"",132.59,5.89043142054248,6.60961195121695,5
"237",1331,"neocor","Nannopterum brasilianum","Neotropic Cormorant","waterbird","Suliformes","Phalacrocoracidae",6,3,"",1239.29,37.1096287181517,7.51104703829584,5
"238",1,"baleag","Haliaeetus leucocephalus","Bald Eagle","landbird","Accipitriformes","Accipitridae",9,3,"",4700.58,111.243573649124,9.35092819125451,3.6
"239",210,"miskit","Ictinia mississippiensis","Mississippi Kite","landbird","Accipitriformes","Accipitridae",9,1,"",276.03,10.7742419622309,5.98684844440077,3.6
"240",320,"swtkit","Elanoides forficatus","Swallow-tailed Kite","landbird","Accipitriformes","Accipitridae",10,1,"",416.24,15.1108434795203,8.55453630640845,3.6
"241",411,"easwpw1","Antrostomus vociferus","Eastern Whip-poor-will","landbird","Caprimulgiformes","Caprimulgidae",14,1,"",53.3,2.78111959854873,6.8136117380926,1.75
"242",510,"ameavo","Recurvirostra americana","American Avocet","shorebird","Charadriiformes","Recurvirostridae",11,3,"",304.48,11.6807259937342,9.21096890533718,3.5
"243",612,"amgplo","Pluvialis dominica","American Golden-Plover","shorebird","Charadriiformes","Charadriidae",15,3,"",151.47,6.5729210089131,8.76424974524023,3.22222222222222
"244",711,"baisan","Calidris bairdii","Baird's Sandpiper","shorebird","Charadriiformes","Scolopacidae",13,3,"",40.97,2.23936880409017,5.30815039530945,3.53571428571429
"245",85,"bongul","Chroicocephalus philadelphia","Bonaparte's Gull","waterbird","Charadriiformes","Laridae",10,3,"",210.71,8.62609105613085,9.60423961300555,3.11428571428571
"246",99,"bubsan","Calidris subruficollis","Buff-breasted Sandpiper","shorebird","Charadriiformes","Scolopacidae",15,3,"",62.1,3.15406534929619,7.21373332341477,3.53571428571429
"247",103,"glagul","Larus hyperboreus","Glaucous Gull","waterbird","Charadriiformes","Laridae",13,3,"",1529.04,44.1191903898796,7.89603097944496,3.11428571428571
"248",1112,"hudgod","Limosa haemastica","Hudsonian Godwit","shorebird","Charadriiformes","Scolopacidae",17,3,"",253.29,10.0378040451043,5.86161437766862,3.53571428571429
"249",124,"leasan","Calidris minutilla","Least Sandpiper","shorebird","Charadriiformes","Scolopacidae",11,3,"",22.88,1.38602844280489,8.7751601749458,3.53571428571429
"250",135,"lesyel","Tringa flavipes","Lesser Yellowlegs","shorebird","Charadriiformes","Scolopacidae",13,3,"",77.5,3.78529409848396,7.39102454089929,3.53571428571429
"251",142,"lobcur","Numenius americanus","Long-billed Curlew","shorebird","Charadriiformes","Scolopacidae",12,3,"",583.86,19.967063084749,7.96341122879631,3.53571428571429
"252",152,"lobdow","Limnodromus scolopaceus","Long-billed Dowitcher","shorebird","Charadriiformes","Scolopacidae",14,3,"",104.4,4.83792832860643,6.81805192482011,3.53571428571429
"253",164,"margod","Limosa fedoa","Marbled Godwit","shorebird","Charadriiformes","Scolopacidae",15,3,"",357.02,13.3168480151251,8.045960816684,3.53571428571429
"254",172,"pipplo","Charadrius melodus","Piping Plover","shorebird","Charadriiformes","Charadriidae",16,3,"",54.39,2.8278719925792,7.11044543731512,3.22222222222222
"255",184,"pursan","Calidris maritima","Purple Sandpiper","shorebird","Charadriiformes","Scolopacidae",12,3,"",65.1,3.27901710223777,5.83770421181828,3.53571428571429
"256",197,"ribgul","Larus delawarensis","Ring-billed Gull","waterbird","Charadriiformes","Laridae",8,3,"",516.31,18.0443327593111,7.32753671202485,3.11428571428571
"257",201,"rocsan","Calidris ptilocnemis","Rock Sandpiper","shorebird","Charadriiformes","Scolopacidae",15,3,"",81.32,3.93828546579458,7.3634941286965,3.53571428571429
"258",21,"sabgul","Xema sabini","Sabine's Gull","waterbird","Charadriiformes","Laridae",12,3,"",198,8.19526734981109,8.15512272452514,3.11428571428571
"259",223,"semsan","Calidris pusilla","Semipalmated Sandpiper","shorebird","Charadriiformes","Scolopacidae",14,3,"",27.5,1.61268860714008,7.70481484523542,3.53571428571429
"260",23,"snoplo5","Anarhynchus nivosus","Snowy Plover","shorebird","Charadriiformes","Charadriidae",14,3,"",45.25,2.43031054208509,6.40341302363124,3.22222222222222
"261",24,"stisan","Calidris himantopus","Stilt Sandpiper","shorebird","Charadriiformes","Scolopacidae",15,3,"",57.24,2.94934396513959,7.3093699265251,3.53571428571429
"262",251,"uplsan","Bartramia longicauda","Upland Sandpiper","shorebird","Charadriiformes","Scolopacidae",11,1,"",158.92,6.83801361493086,7.88132689876944,3.53571428571429
"263",261,"wantat1","Tringa incana","Wandering Tattler","shorebird","Charadriiformes","Scolopacidae",14,3,"",108.24,4.98399842605632,6.22871492894525,3.53571428571429
"264",27,"wessan","Calidris mauri","Western Sandpiper","shorebird","Charadriiformes","Scolopacidae",14,3,"",27.82,1.6281264560389,7.60233550562372,3.53571428571429
"265",281,"wilpha","Phalaropus tricolor","Wilson's Phalarope","shorebird","Charadriiformes","Scolopacidae",11,3,"",59.39,3.04027377792071,7.93173342281728,3.53571428571429
"266",294,"wilsni1","Gallinago delicata","Wilson's Snipe","shorebird","Charadriiformes","Scolopacidae",9,3,"",112.5,5.14497945898364,6.49677397348166,3.53571428571429
"267",301,"sprgro","Canachites canadensis","Spruce Grouse","landbird","Galliformes","Phasianidae",8,1,"",473.65,16.8073141143256,5.97722755243906,4.94444444444444
"268",3110,"comgal1","Gallinula galeata","Common Gallinule","waterbird","Gruiformes","Rallidae",8,3,"",383,14.1098792513006,5.47366179996479,4
"269",32,"purgal2","Porphyrio martinica","Purple Gallinule","waterbird","Gruiformes","Rallidae",11,3,"",235.06,9.43897783540829,6.59260402167033,4
"270",331,"amepip","Anthus rubescens","American Pipit","landbird","Passeriformes","Motacillidae",9,2,"Tricky one, hang out on shorelines but not as important for habitat as for other species.",20.68,1.27531072230924,9.17802617522145,1.88888888888889
"271",341,"babwar","Setophaga castanea","Bay-breasted Warbler","landbird","Passeriformes","Parulidae",10,1,"",11.8,0.803443198751618,7.64202430772634,1.47058823529412
"272",351,"balori","Icterus galbula","Baltimore Oriole","landbird","Passeriformes","Icteridae",11,1,"",32.83,1.86598888878718,6.28522349927295,3
"273",36,"bicthr","Catharus bicknelli","Bicknell's Thrush","landbird","Passeriformes","Turdidae",17,1,"",27.79,1.62668049437415,6.1411420375907,2.64285714285714
"274",371,"bkbwar","Setophaga fusca","Blackburnian Warbler","landbird","Passeriformes","Parulidae",10,1,"",9.74,0.686023061079328,6.30466734593538,1.47058823529412
"275",381,"boboli","Dolichonyx oryzivorus","Bobolink","landbird","Passeriformes","Icteridae",14,1,"",31.46,1.8016245913263,7.02017081297649,3
"276",391,"botgra","Quiscalus major","Boat-tailed Grackle","landbird","Passeriformes","Icteridae",13,1,"",151.21,6.56362847543588,5.96917666945225,3
"277",401,"buggna","Polioptila caerulea","Blue-gray Gnatcatcher","landbird","Passeriformes","Polioptilidae",8,1,"",5.8,0.447655115090837,13.2198442849125,2
"278",41,"buwwar","Vermivora cyanoptera","Blue-winged Warbler","landbird","Passeriformes","Parulidae",14,1,"",8.9,0.636917404457494,22.7474191663943,1.47058823529412
"279",421,"canwar","Cardellina canadensis","Canada Warbler","landbird","Passeriformes","Parulidae",13,1,"",10.04,0.703376923368068,13.704261368152,1.47058823529412
"280",43,"carchi","Poecile carolinensis","Carolina Chickadee","landbird","Passeriformes","Paridae",9,1,"",9.99,0.700491039968557,19.9956247223897,1.44444444444444
"281",441,"cerwar","Setophaga cerulea","Cerulean Warbler","landbird","Passeriformes","Parulidae",14,1,"",9.04,0.645156597898029,11.1298481979015,1.47058823529412
"282",45,"clcspa","Spizella pallida","Clay-colored Sparrow","landbird","Passeriformes","Passerellidae",10,1,"",11.2,0.769646690038204,12.8132364176758,2.41666666666667
"283",461,"cliswa","Petrochelidon pyrrhonota","Cliff Swallow","landbird","Passeriformes","Hirundinidae",5,2,"",21.6,1.32185188460943,18.4542286067126,1.25
"284",47,"comred","Acanthis flammea","Common Redpoll","landbird","Passeriformes","Fringillidae",9,1,"",13,0.870147069450102,13.9687236450601,2.125
"285",482,"evegro","Coccothraustes vespertinus","Evening Grosbeak","landbird","Passeriformes","Fringillidae",14,1,"",57.3,2.95188962316237,9.51969389760107,2.125
"286",49,"gowwar","Vermivora chrysoptera","Golden-winged Warbler","landbird","Passeriformes","Parulidae",15,1,"",8.74,0.627473107492301,7.62372909477953,1.47058823529412
"287",501,"gryjay","Perisoreus canadensis","Canada Jay","landbird","Passeriformes","Corvidae",9,1,"",71.58,3.54552591434759,10.9058121155498,3.13333333333333
"288",512,"henspa","Centronyx henslowii","Henslow's Sparrow","landbird","Passeriformes","Passerellidae",15,1,"",12.8,0.859107927949012,12.745200813167,2.41666666666667
"289",522,"hoared","Acanthis hornemanni","Hoary Redpoll","landbird","Passeriformes","Fringillidae",9,1,"",15.2,0.989711120931796,16.0759458519739,2.125
"290",532,"houfin","Haemorhous mexicanus","House Finch","landbird","Passeriformes","Fringillidae",6,1,"",21.4,1.31176450798651,11.1698672890243,2.125
"291",541,"kenwar","Geothlypis formosa","Kentucky Warbler","landbird","Passeriformes","Parulidae",14,1,"",14,0.924904137517364,11.1801041031075,1.47058823529412
"292",55,"logshr","Lanius ludovicianus","Loggerhead Shrike","landbird","Passeriformes","Laniidae",11,1,"",51.59,2.70743184452654,12.760883892981,2.2
"293",561,"mouwar","Geothlypis philadelphia","Mourning Warbler","landbird","Passeriformes","Parulidae",12,1,"",11.74,0.800077441267508,14.0450897479905,1.47058823529412
"294",572,"naswar","Leiothlypis ruficapilla","Nashville Warbler","landbird","Passeriformes","Parulidae",11,1,"",8.09,0.588784119267649,13.0989871819224,1.47058823529412
"295",58,"norshr4","Lanius borealis","Northern Shrike","landbird","Passeriformes","Laniidae",13,1,"",67.5,3.37824685990858,9.55176948642477,2.2
"296",59,"nrwswa","Stelgidopteryx serripennis","Northern Rough-winged Swallow","landbird","Passeriformes","Hirundinidae",9,2,"",15.69,1.01591117677029,7.35693842671238,1.25
"297",601,"orcwar","Leiothlypis celata","Orange-crowned Warbler","landbird","Passeriformes","Parulidae",8,1,"",9.19,0.653959357318365,9.30483472718979,1.47058823529412
"298",613,"palwar","Setophaga palmarum","Palm Warbler","landbird","Passeriformes","Parulidae",10,1,"",10.3,0.718342974535144,11.2980056850722,1.47058823529412
"299",621,"pinsis","Spinus pinus","Pine Siskin","landbird","Passeriformes","Fringillidae",10,1,"",12.7,0.853576959604265,13.8560943828697,2.125
"300",63,"pinwar","Setophaga pinus","Pine Warbler","landbird","Passeriformes","Parulidae",8,1,"",11.79,0.802882449332409,9.5611495841833,1.47058823529412
"301",641,"prawar","Setophaga discolor","Prairie Warbler","landbird","Passeriformes","Parulidae",14,1,"",7.64,0.561678604836716,9.63597801096758,1.47058823529412
"302",651,"prowar","Protonotaria citrea","Prothonotary Warbler","landbird","Passeriformes","Parulidae",14,1,"",14.3,0.941194767688085,8.78490881922721,1.47058823529412
"303",661,"rusbla","Euphagus carolinus","Rusty Blackbird","landbird","Passeriformes","Icteridae",12,1,"",59.57,3.04785988565676,14.2039300315689,3
"304",671,"savspa","Passerculus sandwichensis","Savannah Sparrow","landbird","Passeriformes","Passerellidae",10,1,"",19.97,1.23914319109223,11.2836061758187,2.41666666666667
"305",681,"swawar","Limnothlypis swainsonii","Swainson's Warbler","landbird","Passeriformes","Parulidae",13,1,"",18.9,1.18420386381394,8.17918726033606,1.47058823529412
"306",692,"tenwar","Leiothlypis peregrina","Tennessee Warbler","landbird","Passeriformes","Parulidae",10,1,"",8.9,0.636917404457494,11.0062338001606,1.47058823529412
"307",701,"whcspa","Zonotrichia leucophrys","White-crowned Sparrow","landbird","Passeriformes","Passerellidae",9,1,"",28,1.63679645929715,13.9667837218742,2.41666666666667
"308",71,"whwcro","Loxia leucoptera","White-winged Crossbill","landbird","Passeriformes","Fringillidae",6,1,"",28.69,1.66994103219264,14.3584608602521,2.125
"309",721,"woewar1","Helmitheros vermivorum","Worm-eating Warbler","landbird","Passeriformes","Parulidae",13,1,"",14.16,0.933600057870425,25.8033996661514,1.47058823529412
"310",731,"yebcha","Icteria virens","Yellow-breasted Chat","landbird","Passeriformes","Icteriidae",10,1,"",24.89,1.48554763529947,22.2391225671026,3
"311",741,"yelwar","Setophaga petechia","Yellow Warbler","landbird","Passeriformes","Parulidae",8,1,"",10.8,0.746938490925969,18.0033486545692,1.47058823529412
"312",752,"categr","Bubulcus ibis/coromandus","Western/Eastern Cattle Egret","waterbird","Pelecaniformes","Ardeidae",9,3,"",365.95,13.5905469556063,31.776536362935,3.4
"313",762,"leabit","Ixobrychus exilis","Least Bittern","waterbird","Pelecaniformes","Ardeidae",10,3,"",86.29,4.13545294516568,20.5187212626884,3.4
"314",771,"redegr","Egretta rufescens","Reddish Egret","waterbird","Pelecaniformes","Ardeidae",15,3,"",614,20.8120850709167,15.4628668312486,3.4
"315",78,"snoegr","Egretta thula","Snowy Egret","waterbird","Pelecaniformes","Ardeidae",7,3,"",371,13.7448034149815,20.9759816608004,3.4
"316",791,"ycnher","Nyctanassa violacea","Yellow-crowned Night Heron","waterbird","Pelecaniformes","Ardeidae",12,3,"",681.67,22.6833524010173,33.9508104590429,3.4
"317",80,"bkbwoo","Picoides arcticus","Black-backed Woodpecker","landbird","Piciformes","Picidae",8,1,"",69.24,3.44979869865631,15.1579033928373,2.45454545454545
"318",81,"haiwoo","Dryobates villosus","Hairy Woodpecker","landbird","Piciformes","Picidae",6,1,"",62.65,3.17705151547881,16.7453440325551,2.45454545454545
"319",82,"pilwoo","Dryocopus pileatus","Pileated Woodpecker","landbird","Piciformes","Picidae",7,1,"",286.59,11.1125485221932,18.2876282968197,2.45454545454545
"320",832,"rehwoo","Melanerpes erythrocephalus","Red-headed Woodpecker","landbird","Piciformes","Picidae",12,1,"",71.6,3.54634169129576,15.1716749066463,2.45454545454545
