,X,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS.max,habitat_score,habitat_comment,English,bodymass,mass_comments
159,49,brebla,Euphagus cyanocephalus,Brewer's Blackbird,Brewer's Blackbird,landbird,Passeriformes,Icteridae,11,1,,Brewer's Blackbird,62.48,
160,50,brncre,Certhia americana,Brown Creeper,Brown Creeper,landbird,Passeriformes,Certhiidae,8,1,,American Treecreeper,8.1,
161,53,brnthr,Toxostoma rufum,Brown Thrasher,Brown Thrasher,landbird,Passeriformes,Mimidae,11,1,,Brown Thrasher,68.8,
162,55,btbwar,Setophaga caerulescens,Black-throated Blue Warbler,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,10.14,
163,56,btnwar,Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,8.69,
164,59,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,8,1,,Blue-grey Gnatcatcher,5.8,
165,60,buhvir,Vireo solitarius,Blue-headed Vireo,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,8,1,,Blue-headed Vireo,15.3,
166,62,buwwar,Vermivora cyanoptera,Blue-winged Warbler,Blue-winged Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,8.9,
167,65,camwar,Setophaga tigrina,Cape May Warbler,Cape May Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,10.04,
168,68,canwar,Cardellina canadensis,Canada Warbler,Canada Warbler,landbird,Passeriformes,Parulidae,13,1,,NA,10.04,
169,69,carchi,Poecile carolinensis,Carolina Chickadee,Carolina Chickadee,landbird,Passeriformes,Paridae,9,1,,NA,9.99,
170,70,carwre,Thryothorus ludovicianus,Carolina Wren,Carolina Wren,landbird,Passeriformes,Troglodytidae,7,1,,Carolina Wren,18.96,
171,73,cedwax,Bombycilla cedrorum,Cedar Waxwing,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,8,1,,Cedar Waxwing,31.58,
172,74,cerwar,Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,9.04,
173,75,chispa,Spizella passerina,Chipping Sparrow,Chipping Sparrow,landbird,Passeriformes,Passerellidae,9,1,,Chipping Sparrow,12.2,
174,77,chswar,Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,12,1,,NA,9.29,
175,81,clcspa,Spizella pallida,Clay-colored Sparrow,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,10,1,,Clay-coloured Sparrow,11.2,
176,82,cliswa,Petrochelidon pyrrhonota,Cliff Swallow,Cliff Swallow,landbird,Passeriformes,Hirundinidae,5,2,,Cliff Swallow,21.6,
177,85,comgra,Quiscalus quiscula,Common Grackle,Common Grackle,landbird,Passeriformes,Icteridae,10,1,,Common Grackle,105.18,
178,89,comrav,Corvus corax,Common Raven,Common Raven,landbird,Passeriformes,Corvidae,6,1,,Common Raven,927.97,
179,90,comred,Acanthis flammea,Common Redpoll,Common Redpoll,landbird,Passeriformes,Fringillidae,9,1,,NA,13,
180,91,comyel,Geothlypis trichas,Common Yellowthroat,Common Yellowthroat,landbird,Passeriformes,Parulidae,9,2,,Common Yellowthroat,9.54,
181,93,daejun,Junco hyemalis,Dark-eyed Junco,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,9,1,,Dark-eyed Junco,19.5,
182,94,dickci,Spiza americana,Dickcissel,Dickcissel,landbird,Passeriformes,Cardinalidae,10,1,,Dickcissel,26.18,
183,98,easblu,Sialia sialis,Eastern Bluebird,Eastern Bluebird,landbird,Passeriformes,Turdidae,7,1,,Eastern Bluebird,27.5,
184,99,easkin,Tyrannus tyrannus,Eastern Kingbird,Eastern Kingbird,landbird,Passeriformes,Tyrannidae,11,2,,Eastern Kingbird,39.85,
185,100,easmea,Sturnella magna,Eastern Meadowlark,Eastern Meadowlark,landbird,Passeriformes,Icteridae,11,1,,Eastern Meadowlark,91.76,
186,102,easpho,Sayornis phoebe,Eastern Phoebe,Eastern Phoebe,landbird,Passeriformes,Tyrannidae,9,1,,Eastern Phoebe,19.7,
187,103,eastow,Pipilo erythrophthalmus,Eastern Towhee,Eastern Towhee,landbird,Passeriformes,Passerellidae,13,1,,Eastern Towhee,40.03,
188,105,eawpew,Contopus virens,Eastern Wood-Pewee,Eastern Wood-Pewee,landbird,Passeriformes,Tyrannidae,9,1,,Eastern Wood-pewee,13.9,
189,107,eursta,Sturnus vulgaris,European Starling,European Starling,landbird,Passeriformes,Sturnidae,9,1,,Common Starling,77.14,
190,108,evegro,Coccothraustes vespertinus,Evening Grosbeak,Evening Grosbeak,landbird,Passeriformes,Fringillidae,14,1,,Evening Grosbeak,57.3,
191,109,fiespa,Spizella pusilla,Field Sparrow,Field Sparrow,landbird,Passeriformes,Passerellidae,13,1,,Field Sparrow,12.5,
192,110,fiscro,Corvus ossifragus,Fish Crow,Fish Crow,landbird,Passeriformes,Corvidae,11,1,,Fish Crow,284.6,
193,112,foxspa,Passerella iliaca,Fox Sparrow,Fox Sparrow,landbird,Passeriformes,Passerellidae,9,1,,Fox Sparrow,33.25,
194,120,gockin,Regulus satrapa,Golden-crowned Kinglet,Golden-crowned Kinglet,landbird,Passeriformes,Regulidae,10,1,,Golden-crowned Kinglet,6.19,
195,122,gowwar,Vermivora chrysoptera,Golden-winged Warbler,Golden-winged Warbler,landbird,Passeriformes,Parulidae,15,1,,Golden-winged Warbler,8.74,
196,123,graspa,Ammodramus savannarum,Grasshopper Sparrow,Grasshopper Sparrow,landbird,Passeriformes,Passerellidae,12,1,,Grasshopper Sparrow,17.61,
197,125,grcfly,Myiarchus crinitus,Great Crested Flycatcher,Great Crested Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,,Great Crested Flycatcher,32.1,
198,132,grycat,Dumetella carolinensis,Gray Catbird,Gray Catbird,landbird,Passeriformes,Mimidae,8,1,,Grey Catbird,35.3,
199,133,gryjay,Perisoreus canadensis,Canada Jay,Canada Jay,landbird,Passeriformes,Corvidae,9,1,,Grey Jay,71.58,
200,135,gycthr,Catharus minimus,Gray-cheeked Thrush,Gray-cheeked Thrush,landbird,Passeriformes,Turdidae,9,1,,Grey-cheeked Thrush,31.58,
201,137,henspa,Centronyx henslowii,Henslow's Sparrow,Henslow's Sparrow,landbird,Passeriformes,Passerellidae,15,1,,NA,12.8,
202,139,herthr,Catharus guttatus,Hermit Thrush,Hermit Thrush,landbird,Passeriformes,Turdidae,9,1,,Hermit Thrush,30.1,
203,140,hoared,Acanthis hornemanni,Hoary Redpoll,Hoary Redpoll,landbird,Passeriformes,Fringillidae,9,1,,NA,15.2,
204,142,hoowar,Setophaga citrina,Hooded Warbler,Hooded Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,10.54,
205,144,horlar,Eremophila alpestris,Horned Lark,Horned Lark,landbird,Passeriformes,Alaudidae,9,1,,Horned Lark,33.33,
206,145,houfin,Haemorhous mexicanus,House Finch,House Finch,landbird,Passeriformes,Fringillidae,6,1,,NA,21.4,
207,146,houspa,Passer domesticus,House Sparrow,House Sparrow,landbird,Passeriformes,Passeridae,9,1,,House Sparrow,26.51,
208,147,houwre,Troglodytes aedon,House Wren,House Wren,landbird,Passeriformes,Troglodytidae,5,1,,House Wren,10.85,
209,149,indbun,Passerina cyanea,Indigo Bunting,Indigo Bunting,landbird,Passeriformes,Cardinalidae,10,1,,Indigo Bunting,14.69,
210,150,kenwar,Geothlypis formosa,Kentucky Warbler,Kentucky Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,14,
211,153,laplon,Calcarius lapponicus,Lapland Longspur,Lapland Longspur,landbird,Passeriformes,Calcariidae,10,1,,Lapland Longspur,27.84,
212,157,leafly,Empidonax minimus,Least Flycatcher,Least Flycatcher,landbird,Passeriformes,Tyrannidae,11,1,,Least Flycatcher,10,
213,164,linspa,Melospiza lincolnii,Lincoln's Sparrow,Lincoln's Sparrow,landbird,Passeriformes,Passerellidae,7,1,,Lincoln's Sparrow,16.6,
214,168,logshr,Lanius ludovicianus,Loggerhead Shrike,Loggerhead Shrike,landbird,Passeriformes,Laniidae,11,1,,Loggerhead Shrike,51.59,
215,170,louwat,Parkesia motacilla,Louisiana Waterthrush,Louisiana Waterthrush,landbird,Passeriformes,Parulidae,11,2,,NA,19.9,
216,171,magwar,Setophaga magnolia,Magnolia Warbler,Magnolia Warbler,landbird,Passeriformes,Parulidae,9,1,,NA,8.14,
217,174,marwre,Cistothorus palustris,Marsh Wren,Marsh Wren,landbird,Passeriformes,Troglodytidae,7,2,,Marsh Wren,10.8,
218,179,mouwar,Geothlypis philadelphia,Mourning Warbler,Mourning Warbler,landbird,Passeriformes,Parulidae,12,1,,NA,11.74,
219,181,naswar,Leiothlypis ruficapilla,Nashville Warbler,Nashville Warbler,landbird,Passeriformes,Parulidae,11,1,,NA,8.09,
220,184,norcar,Cardinalis cardinalis,Northern Cardinal,Northern Cardinal,landbird,Passeriformes,Cardinalidae,6,1,,Northern Cardinal,42.64,
221,187,normoc,Mimus polyglottos,Northern Mockingbird,Northern Mockingbird,landbird,Passeriformes,Mimidae,9,1,,Northern Mockingbird,48.5,
222,188,norpar,Setophaga americana,Northern Parula,Northern Parula,landbird,Passeriformes,Parulidae,9,1,,NA,7.84,
223,191,norshr4,Lanius borealis,Northern Shrike,Northern Shrike,landbird,Passeriformes,Laniidae,13,1,,NA,67.5,AAB
224,192,norwat,Parkesia noveboracensis,Northern Waterthrush,Northern Waterthrush,landbird,Passeriformes,Parulidae,8,2,,NA,16.3,
225,193,nrwswa,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Northern Rough-winged Swallow,landbird,Passeriformes,Hirundinidae,9,2,,Northern Rough-winged Swallow,15.69,
226,195,olsfly,Contopus cooperi,Olive-sided Flycatcher,Olive-sided Flycatcher,landbird,Passeriformes,Tyrannidae,13,1,,Olive-sided Flycatcher,32.1,
227,196,orcori,Icterus spurius,Orchard Oriole,Orchard Oriole,landbird,Passeriformes,Icteridae,10,1,,Orchard Oriole,19.44,
228,197,orcwar,Leiothlypis celata,Orange-crowned Warbler,Orange-crowned Warbler,landbird,Passeriformes,Parulidae,8,1,,NA,9.19,
229,199,ovenbi1,Seiurus aurocapilla,Ovenbird,Ovenbird,landbird,Passeriformes,Parulidae,9,1,,Ovenbird,18.8,
230,201,palwar,Setophaga palmarum,Palm Warbler,Palm Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,10.3,
231,204,phivir,Vireo philadelphicus,Philadelphia Vireo,Philadelphia Vireo,landbird,Passeriformes,Vireonidae,9,1,,Philadelphia Vireo,11.5,
232,207,pingro,Pinicola enucleator,Pine Grosbeak,Pine Grosbeak,landbird,Passeriformes,Fringillidae,12,1,,Pine Grosbeak,56.4,
233,208,pinsis,Spinus pinus,Pine Siskin,Pine Siskin,landbird,Passeriformes,Fringillidae,10,1,,NA,12.7,
234,209,pinwar,Setophaga pinus,Pine Warbler,Pine Warbler,landbird,Passeriformes,Parulidae,8,1,,NA,11.79,
235,211,prawar,Setophaga discolor,Prairie Warbler,Prairie Warbler,landbird,Passeriformes,Parulidae,14,1,,NA,7.64,
236,212,prowar,Protonotaria citrea,Prothonotary Warbler,Prothonotary Warbler,landbird,Passeriformes,Parulidae,14,1,,Prothonotary Warbler,14.3,
237,213,purfin,Haemorhous purpureus,Purple Finch,Purple Finch,landbird,Passeriformes,Fringillidae,8,1,,NA,23.3,
238,215,purmar,Progne subis,Purple Martin,Purple Martin,landbird,Passeriformes,Hirundinidae,9,2,,Purple Martin,53.79,
239,218,rebnut,Sitta canadensis,Red-breasted Nuthatch,Red-breasted Nuthatch,landbird,Passeriformes,Sittidae,7,1,,Red-breasted Nuthatch,9.8,
240,220,redcro,Loxia curvirostra,Red Crossbill,Red Crossbill,landbird,Passeriformes,Fringillidae,9,1,,Red Crossbill,38.29,
241,224,reevir1,Vireo olivaceus,Red-eyed Vireo,Red-eyed Vireo,landbird,Passeriformes,Vireonidae,5,1,,Red-eyed Vireo,16.06,
242,230,rewbla,Agelaius phoeniceus,Red-winged Blackbird,Red-winged Blackbird,landbird,Passeriformes,Icteridae,8,2,,Red-winged Blackbird,50.78,
243,234,robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,Rose-breasted Grosbeak,landbird,Passeriformes,Cardinalidae,10,1,,Rose-breasted Grosbeak,42,
244,242,ruckin,Corthylio calendula,Ruby-crowned Kinglet,Ruby-crowned Kinglet,landbird,Passeriformes,Regulidae,7,1,,NA,6.19,
245,246,rusbla,Euphagus carolinus,Rusty Blackbird,Rusty Blackbird,landbird,Passeriformes,Icteridae,12,1,,Rusty Blackbird,59.57,
246,251,savspa,Passerculus sandwichensis,Savannah Sparrow,Savannah Sparrow,landbird,Passeriformes,Passerellidae,10,1,,Savannah Sparrow,19.97,
247,252,scatan,Piranga olivacea,Scarlet Tanager,Scarlet Tanager,landbird,Passeriformes,Cardinalidae,12,1,,Scarlet Tanager,28.2,
248,253,sedwre1,Cistothorus stellaris,Sedge Wren,Sedge Wren,landbird,Passeriformes,Troglodytidae,9,1,,NA,9.04,
249,258,snobun,Plectrophenax nivalis,Snow Bunting,Snow Bunting,landbird,Passeriformes,Calcariidae,11,1,,Snow Bunting,42.2,
250,264,sonspa,Melospiza melodia,Song Sparrow,Song Sparrow,landbird,Passeriformes,Passerellidae,9,1,,Song Sparrow,21.91,
251,269,sumtan,Piranga rubra,Summer Tanager,Summer Tanager,landbird,Passeriformes,Cardinalidae,8,1,,Summer Tanager,29.13,
252,271,swaspa,Melospiza georgiana,Swamp Sparrow,Swamp Sparrow,landbird,Passeriformes,Passerellidae,7,2,,Swamp Sparrow,16.1,
253,272,swathr,Catharus ustulatus,Swainson's Thrush,Swainson's Thrush,landbird,Passeriformes,Turdidae,9,1,,Swainson's Thrush,30.3,
254,273,swawar,Limnothlypis swainsonii,Swainson's Warbler,Swainson's Warbler,landbird,Passeriformes,Parulidae,13,1,,Swainson's Warbler,18.9,
255,275,tenwar,Leiothlypis peregrina,Tennessee Warbler,Tennessee Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,8.9,
256,276,treswa,Tachycineta bicolor,Tree Swallow,Tree Swallow,landbird,Passeriformes,Hirundinidae,10,2,,Tree Swallow,21.2,
257,279,tuftit,Baeolophus bicolor,Tufted Titmouse,Tufted Titmouse,landbird,Passeriformes,Paridae,7,1,,Tufted Titmouse,21.6,
258,283,veery,Catharus fuscescens,Veery,Veery,landbird,Passeriformes,Turdidae,11,1,,Veery,31.9,
259,284,vesspa,Pooecetes gramineus,Vesper Sparrow,Vesper Sparrow,landbird,Passeriformes,Passerellidae,11,1,,Vesper Sparrow,25.68,
260,287,warvir,Vireo gilvus,Warbling Vireo,Warbling Vireo,landbird,Passeriformes,Vireonidae,8,1,,Warbling Vireo,12.67,
261,291,whbnut,Sitta carolinensis,White-breasted Nuthatch,White-breasted Nuthatch,landbird,Passeriformes,Sittidae,6,1,,White-breasted Nuthatch,21,
262,292,whcspa,Zonotrichia leucophrys,White-crowned Sparrow,White-crowned Sparrow,landbird,Passeriformes,Passerellidae,9,1,,White-crowned Sparrow,28,
263,293,whevir,Vireo griseus,White-eyed Vireo,White-eyed Vireo,landbird,Passeriformes,Vireonidae,7,1,,White-eyed Vireo,11.4,
264,296,whtspa,Zonotrichia albicollis,White-throated Sparrow,White-throated Sparrow,landbird,Passeriformes,Passerellidae,9,1,,White-throated Sparrow,24.4,
265,297,whwcro,Loxia leucoptera,White-winged Crossbill,White-winged Crossbill,landbird,Passeriformes,Fringillidae,6,1,,White-winged Crossbill,28.69,
266,299,wilfly,Empidonax traillii,Willow Flycatcher,Willow Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,Willow Flycatcher,13.39,
267,304,winwre3,Troglodytes hiemalis,Winter Wren,Winter Wren,landbird,Passeriformes,Troglodytidae,12,1,,NA,9.74,
268,305,wlswar,Cardellina pusilla,Wilson's Warbler,Wilson's Warbler,landbird,Passeriformes,Parulidae,9,1,,NA,6.96,
269,306,woewar1,Helmitheros vermivorum,Worm-eating Warbler,Worm-eating Warbler,landbird,Passeriformes,Parulidae,13,1,,Worm-eating Warbler,14.16,
270,309,woothr,Hylocichla mustelina,Wood Thrush,Wood Thrush,landbird,Passeriformes,Turdidae,14,1,,Wood Thrush,50.09,
271,313,yebcha,Icteria virens,Yellow-breasted Chat,Yellow-breasted Chat,landbird,Passeriformes,Icteriidae,10,1,,Yellow-breasted Chat,24.89,
272,315,yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,Yellow-bellied Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,,Yellow-bellied Flycatcher,11.8,
273,317,yelwar,Setophaga petechia,Yellow Warbler,Yellow Warbler,landbird,Passeriformes,Parulidae,8,1,,NA,10.8,
274,318,yerwar,Setophaga coronata,Yellow-rumped Warbler,Yellow-rumped Warbler,landbird,Passeriformes,Parulidae,8,1,,NA,11.94,
275,319,yetvir,Vireo flavifrons,Yellow-throated Vireo,Yellow-throated Vireo,landbird,Passeriformes,Vireonidae,10,1,,Yellow-throated Vireo,18,
276,320,yetwar,Setophaga dominica,Yellow-throated Warbler,Yellow-throated Warbler,landbird,Passeriformes,Parulidae,10,1,,NA,9.69,
277,5,amebit,Botaurus lentiginosus,American Bittern,American Bittern,waterbird,Pelecaniformes,Ardeidae,12,3,,American Bittern,706,
278,15,amwpel,Pelecanus erythrorhynchos,American White Pelican,American White Pelican,waterbird,Pelecaniformes,Pelecanidae,10,4,,American White Pelican,5608.48,
279,26,bcnher,Nycticorax nycticorax,Black-crowned Night Heron,Black-crowned Night-Heron,waterbird,Pelecaniformes,Ardeidae,10,3,,Black-crowned Night-heron,810,
280,52,brnpel,Pelecanus occidentalis,Brown Pelican,Brown Pelican,waterbird,Pelecaniformes,Pelecanidae,11,4,,Brown Pelican,3427.84,
281,72,categr,Bubulcus ibis/coromandus,Western/Eastern Cattle Egret,Cattle Egret,waterbird,Pelecaniformes,Ardeidae,9,3,,NA,365.95,
282,118,gloibi,Plegadis falcinellus,Glossy Ibis,Glossy Ibis,waterbird,Pelecaniformes,Threskiornithidae,8,3,,Glossy Ibis,626.61,
283,124,grbher3,Ardea herodias,Great Blue Heron,Great Blue Heron,waterbird,Pelecaniformes,Ardeidae,8,3,,Great Blue Heron,2523.41,
284,127,greegr,Ardea alba,Great Egret,Great Egret,waterbird,Pelecaniformes,Ardeidae,6,3,,NA,871.33,
285,131,grnher,Butorides virescens,Green Heron,Green Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,Green Heron,201.5,
286,156,leabit,Ixobrychus exilis,Least Bittern,Least Bittern,waterbird,Pelecaniformes,Ardeidae,10,3,,Least Bittern,86.29,
287,162,libher,Egretta caerulea,Little Blue Heron,Little Blue Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,Little Blue Heron,338.61,
288,221,redegr,Egretta rufescens,Reddish Egret,Reddish Egret,waterbird,Pelecaniformes,Ardeidae,15,3,,Reddish Egret,614,
289,239,rosspo1,Platalea ajaja,Roseate Spoonbill,Roseate Spoonbill,waterbird,Pelecaniformes,Threskiornithidae,9,3,,Roseate Spoonbill,1490,
290,259,snoegr,Egretta thula,Snowy Egret,Snowy Egret,waterbird,Pelecaniformes,Ardeidae,7,3,,Snowy Egret,371,
291,277,triher,Egretta tricolor,Tricolored Heron,Tricolored Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,Tricoloured Heron,372.3,
292,294,whfibi,Plegadis chihi,White-faced Ibis,White-faced Ibis,waterbird,Pelecaniformes,Threskiornithidae,7,3,,White-faced Ibis,616.89,
293,295,whiibi,Eudocimus albus,White Ibis,White Ibis,waterbird,Pelecaniformes,Threskiornithidae,9,3,,White Ibis,889.66,
294,312,ycnher,Nyctanassa violacea,Yellow-crowned Night Heron,Yellow-crowned Night-Heron,waterbird,Pelecaniformes,Ardeidae,12,3,,Yellow-crowned Night-heron,681.67,
295,33,bkbwoo,Picoides arcticus,Black-backed Woodpecker,Black-backed Woodpecker,landbird,Piciformes,Picidae,8,1,,Black-backed Woodpecker,69.24,
296,96,dowwoo,Dryobates pubescens,Downy Woodpecker,Downy Woodpecker,landbird,Piciformes,Picidae,8,1,,NA,25.55,
297,136,haiwoo,Dryobates villosus,Hairy Woodpecker,Hairy Woodpecker,landbird,Piciformes,Picidae,6,1,,NA,62.65,
298,185,norfli,Colaptes auratus,Northern Flicker,Northern Flicker,landbird,Piciformes,Picidae,10,1,,Northern Flicker,131.46,
299,206,pilwoo,Dryocopus pileatus,Pileated Woodpecker,Pileated Woodpecker,landbird,Piciformes,Picidae,7,1,,Pileated Woodpecker,286.59,
300,219,rebwoo,Melanerpes carolinus,Red-bellied Woodpecker,Red-bellied Woodpecker,landbird,Piciformes,Picidae,7,1,,Red-bellied Woodpecker,69.5,
301,225,rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,Red-headed Woodpecker,landbird,Piciformes,Picidae,12,1,,Red-headed Woodpecker,71.6,
302,316,yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,landbird,Piciformes,Picidae,7,1,,Yellow-bellied Sapsucker,50.3,
303,80,clagre,Aechmophorus clarkii,Clark's Grebe,Clark's Grebe,waterbird,Podicipediformes,Podicipedidae,11,5,,Clark's Grebe,1090.93,
304,143,horgre,Podiceps auritus,Horned Grebe,Horned Grebe,waterbird,Podicipediformes,Podicipedidae,13,5,,Horned Grebe,453,
305,158,leagre,Tachybaptus dominicus,Least Grebe,Least Grebe,waterbird,Podicipediformes,Podicipedidae,8,5,,Least Grebe,132.59,
306,205,pibgre,Podilymbus podiceps,Pied-billed Grebe,Pied-billed Grebe,waterbird,Podicipediformes,Podicipedidae,8,5,,Pied-billed Grebe,411.93,
307,226,rengre,Podiceps grisegena,Red-necked Grebe,Red-necked Grebe,waterbird,Podicipediformes,Podicipedidae,9,5,,Red-necked Grebe,1023,
308,288,wesgre,Aechmophorus occidentalis,Western Grebe,Western Grebe,waterbird,Podicipediformes,Podicipedidae,12,5,,Western Grebe,1136.95,
309,48,brdowl,Strix varia,Barred Owl,Barred Owl,landbird,Strigiformes,Strigidae,7,1,,Barred Owl,711.49,
310,51,brnowl,Tyto alba,Barn Owl,Barn Owl,landbird,Strigiformes,Tytonidae,8,1,,Barn Owl,403.32,
311,101,easowl1,Megascops asio,Eastern Screech-Owl,Eastern Screech-Owl,landbird,Strigiformes,Strigidae,9,1,,Eastern Screech-owl,179.99,
312,130,grhowl,Bubo virginianus,Great Horned Owl,Great Horned Owl,landbird,Strigiformes,Strigidae,8,1,,Great Horned Owl,1575.7,
313,167,loeowl,Asio otus,Long-eared Owl,Long-eared Owl,landbird,Strigiformes,Strigidae,10,1,,Long-eared Owl,296.57,
314,194,nswowl,Aegolius acadicus,Northern Saw-whet Owl,Northern Saw-whet Owl,landbird,Strigiformes,Strigidae,8,1,,Northern Saw-whet Owl,100.69,
315,256,sheowl,Asio flammeus,Short-eared Owl,Short-eared Owl,landbird,Strigiformes,Strigidae,12,1,,Short-eared Owl,322.61,
316,261,snoowl1,Bubo scandiacus,Snowy Owl,Snowy Owl,landbird,Strigiformes,Strigidae,13,1,,NA,2028.76,
317,16,anhing,Anhinga anhinga,Anhinga,Anhinga,waterbird,Suliformes,Anhingidae,8,3,,Anhinga,1235,
318,95,doccor,Nannopterum auritum,Double-crested Cormorant,Double-crested Cormorant,waterbird,Suliformes,Phalacrocoracidae,8,3,,NA,1806.49,
319,126,grecor,Phalacrocorax carbo,Great Cormorant,Great Cormorant,waterbird,Suliformes,Phalacrocoracidae,10,3,,Great Cormorant,2528.97,
320,182,neocor,Nannopterum brasilianum,Neotropic Cormorant,Neotropic Cormorant,waterbird,Suliformes,Phalacrocoracidae,6,3,,NA,1239.29,
