,species_code,scientific_name,common_name.x,common_name.y,group,order,family,CCS-max,habitat_score,habitat_comment
49,brebla,Euphagus cyanocephalus,Brewer's Blackbird,Brewer's Blackbird,landbird,Passeriformes,Icteridae,11,1,
50,brncre,Certhia americana,Brown Creeper,Brown Creeper,landbird,Passeriformes,Certhiidae,8,1,
53,brnthr,Toxostoma rufum,Brown Thrasher,Brown Thrasher,landbird,Passeriformes,Mimidae,11,1,
55,btbwar,Setophaga caerulescens,Black-throated Blue Warbler,Black-throated Blue Warbler,landbird,Passeriformes,Parulidae,10,1,
56,btnwar,Setophaga virens,Black-throated Green Warbler,Black-throated Green Warbler,landbird,Passeriformes,Parulidae,11,1,
59,buggna,Polioptila caerulea,Blue-gray Gnatcatcher,Blue-gray Gnatcatcher,landbird,Passeriformes,Polioptilidae,8,1,
60,buhvir,Vireo solitarius,Blue-headed Vireo,Blue-headed Vireo,landbird,Passeriformes,Vireonidae,8,1,
62,buwwar,Vermivora cyanoptera,Blue-winged Warbler,Blue-winged Warbler,landbird,Passeriformes,Parulidae,14,1,
65,camwar,Setophaga tigrina,Cape May Warbler,Cape May Warbler,landbird,Passeriformes,Parulidae,11,1,
68,canwar,Cardellina canadensis,Canada Warbler,Canada Warbler,landbird,Passeriformes,Parulidae,13,1,
69,carchi,Poecile carolinensis,Carolina Chickadee,Carolina Chickadee,landbird,Passeriformes,Paridae,9,1,
70,carwre,Thryothorus ludovicianus,Carolina Wren,Carolina Wren,landbird,Passeriformes,Troglodytidae,7,1,
73,cedwax,Bombycilla cedrorum,Cedar Waxwing,Cedar Waxwing,landbird,Passeriformes,Bombycillidae,8,1,
74,cerwar,Setophaga cerulea,Cerulean Warbler,Cerulean Warbler,landbird,Passeriformes,Parulidae,14,1,
75,chispa,Spizella passerina,Chipping Sparrow,Chipping Sparrow,landbird,Passeriformes,Passerellidae,9,1,
77,chswar,Setophaga pensylvanica,Chestnut-sided Warbler,Chestnut-sided Warbler,landbird,Passeriformes,Parulidae,12,1,
81,clcspa,Spizella pallida,Clay-colored Sparrow,Clay-colored Sparrow,landbird,Passeriformes,Passerellidae,10,1,
82,cliswa,Petrochelidon pyrrhonota,Cliff Swallow,Cliff Swallow,landbird,Passeriformes,Hirundinidae,5,2,
85,comgra,Quiscalus quiscula,Common Grackle,Common Grackle,landbird,Passeriformes,Icteridae,10,1,
89,comrav,Corvus corax,Common Raven,Common Raven,landbird,Passeriformes,Corvidae,6,1,
90,comred,Acanthis flammea,Common Redpoll,Common Redpoll,landbird,Passeriformes,Fringillidae,9,1,
91,comyel,Geothlypis trichas,Common Yellowthroat,Common Yellowthroat,landbird,Passeriformes,Parulidae,9,2,
93,daejun,Junco hyemalis,Dark-eyed Junco,Dark-eyed Junco,landbird,Passeriformes,Passerellidae,9,1,
94,dickci,Spiza americana,Dickcissel,Dickcissel,landbird,Passeriformes,Cardinalidae,10,1,
98,easblu,Sialia sialis,Eastern Bluebird,Eastern Bluebird,landbird,Passeriformes,Turdidae,7,1,
99,easkin,Tyrannus tyrannus,Eastern Kingbird,Eastern Kingbird,landbird,Passeriformes,Tyrannidae,11,2,
100,easmea,Sturnella magna,Eastern Meadowlark,Eastern Meadowlark,landbird,Passeriformes,Icteridae,11,1,
102,easpho,Sayornis phoebe,Eastern Phoebe,Eastern Phoebe,landbird,Passeriformes,Tyrannidae,9,1,
103,eastow,Pipilo erythrophthalmus,Eastern Towhee,Eastern Towhee,landbird,Passeriformes,Passerellidae,13,1,
105,eawpew,Contopus virens,Eastern Wood-Pewee,Eastern Wood-Pewee,landbird,Passeriformes,Tyrannidae,9,1,
107,eursta,Sturnus vulgaris,European Starling,European Starling,landbird,Passeriformes,Sturnidae,9,1,
108,evegro,Coccothraustes vespertinus,Evening Grosbeak,Evening Grosbeak,landbird,Passeriformes,Fringillidae,14,1,
109,fiespa,Spizella pusilla,Field Sparrow,Field Sparrow,landbird,Passeriformes,Passerellidae,13,1,
110,fiscro,Corvus ossifragus,Fish Crow,Fish Crow,landbird,Passeriformes,Corvidae,11,1,
112,foxspa,Passerella iliaca,Fox Sparrow,Fox Sparrow,landbird,Passeriformes,Passerellidae,9,1,
120,gockin,Regulus satrapa,Golden-crowned Kinglet,Golden-crowned Kinglet,landbird,Passeriformes,Regulidae,10,1,
122,gowwar,Vermivora chrysoptera,Golden-winged Warbler,Golden-winged Warbler,landbird,Passeriformes,Parulidae,15,1,
123,graspa,Ammodramus savannarum,Grasshopper Sparrow,Grasshopper Sparrow,landbird,Passeriformes,Passerellidae,12,1,
125,grcfly,Myiarchus crinitus,Great Crested Flycatcher,Great Crested Flycatcher,landbird,Passeriformes,Tyrannidae,8,1,
132,grycat,Dumetella carolinensis,Gray Catbird,Gray Catbird,landbird,Passeriformes,Mimidae,8,1,
133,gryjay,Perisoreus canadensis,Canada Jay,Canada Jay,landbird,Passeriformes,Corvidae,9,1,
135,gycthr,Catharus minimus,Gray-cheeked Thrush,Gray-cheeked Thrush,landbird,Passeriformes,Turdidae,9,1,
137,henspa,Centronyx henslowii,Henslow's Sparrow,Henslow's Sparrow,landbird,Passeriformes,Passerellidae,15,1,
139,herthr,Catharus guttatus,Hermit Thrush,Hermit Thrush,landbird,Passeriformes,Turdidae,9,1,
140,hoared,Acanthis hornemanni,Hoary Redpoll,Hoary Redpoll,landbird,Passeriformes,Fringillidae,9,1,
142,hoowar,Setophaga citrina,Hooded Warbler,Hooded Warbler,landbird,Passeriformes,Parulidae,10,1,
144,horlar,Eremophila alpestris,Horned Lark,Horned Lark,landbird,Passeriformes,Alaudidae,9,1,
145,houfin,Haemorhous mexicanus,House Finch,House Finch,landbird,Passeriformes,Fringillidae,6,1,
146,houspa,Passer domesticus,House Sparrow,House Sparrow,landbird,Passeriformes,Passeridae,9,1,
147,houwre,Troglodytes aedon,House Wren,House Wren,landbird,Passeriformes,Troglodytidae,5,1,
149,indbun,Passerina cyanea,Indigo Bunting,Indigo Bunting,landbird,Passeriformes,Cardinalidae,10,1,
150,kenwar,Geothlypis formosa,Kentucky Warbler,Kentucky Warbler,landbird,Passeriformes,Parulidae,14,1,
153,laplon,Calcarius lapponicus,Lapland Longspur,Lapland Longspur,landbird,Passeriformes,Calcariidae,10,1,
157,leafly,Empidonax minimus,Least Flycatcher,Least Flycatcher,landbird,Passeriformes,Tyrannidae,11,1,
164,linspa,Melospiza lincolnii,Lincoln's Sparrow,Lincoln's Sparrow,landbird,Passeriformes,Passerellidae,7,1,
168,logshr,Lanius ludovicianus,Loggerhead Shrike,Loggerhead Shrike,landbird,Passeriformes,Laniidae,11,1,
170,louwat,Parkesia motacilla,Louisiana Waterthrush,Louisiana Waterthrush,landbird,Passeriformes,Parulidae,11,2,
171,magwar,Setophaga magnolia,Magnolia Warbler,Magnolia Warbler,landbird,Passeriformes,Parulidae,9,1,
174,marwre,Cistothorus palustris,Marsh Wren,Marsh Wren,landbird,Passeriformes,Troglodytidae,7,2,
179,mouwar,Geothlypis philadelphia,Mourning Warbler,Mourning Warbler,landbird,Passeriformes,Parulidae,12,1,
181,naswar,Leiothlypis ruficapilla,Nashville Warbler,Nashville Warbler,landbird,Passeriformes,Parulidae,11,1,
184,norcar,Cardinalis cardinalis,Northern Cardinal,Northern Cardinal,landbird,Passeriformes,Cardinalidae,6,1,
187,normoc,Mimus polyglottos,Northern Mockingbird,Northern Mockingbird,landbird,Passeriformes,Mimidae,9,1,
188,norpar,Setophaga americana,Northern Parula,Northern Parula,landbird,Passeriformes,Parulidae,9,1,
191,norshr4,Lanius borealis,Northern Shrike,Northern Shrike,landbird,Passeriformes,Laniidae,13,1,
192,norwat,Parkesia noveboracensis,Northern Waterthrush,Northern Waterthrush,landbird,Passeriformes,Parulidae,8,2,
193,nrwswa,Stelgidopteryx serripennis,Northern Rough-winged Swallow,Northern Rough-winged Swallow,landbird,Passeriformes,Hirundinidae,9,2,
195,olsfly,Contopus cooperi,Olive-sided Flycatcher,Olive-sided Flycatcher,landbird,Passeriformes,Tyrannidae,13,1,
196,orcori,Icterus spurius,Orchard Oriole,Orchard Oriole,landbird,Passeriformes,Icteridae,10,1,
197,orcwar,Leiothlypis celata,Orange-crowned Warbler,Orange-crowned Warbler,landbird,Passeriformes,Parulidae,8,1,
199,ovenbi1,Seiurus aurocapilla,Ovenbird,Ovenbird,landbird,Passeriformes,Parulidae,9,1,
201,palwar,Setophaga palmarum,Palm Warbler,Palm Warbler,landbird,Passeriformes,Parulidae,10,1,
204,phivir,Vireo philadelphicus,Philadelphia Vireo,Philadelphia Vireo,landbird,Passeriformes,Vireonidae,9,1,
207,pingro,Pinicola enucleator,Pine Grosbeak,Pine Grosbeak,landbird,Passeriformes,Fringillidae,12,1,
208,pinsis,Spinus pinus,Pine Siskin,Pine Siskin,landbird,Passeriformes,Fringillidae,10,1,
209,pinwar,Setophaga pinus,Pine Warbler,Pine Warbler,landbird,Passeriformes,Parulidae,8,1,
211,prawar,Setophaga discolor,Prairie Warbler,Prairie Warbler,landbird,Passeriformes,Parulidae,14,1,
212,prowar,Protonotaria citrea,Prothonotary Warbler,Prothonotary Warbler,landbird,Passeriformes,Parulidae,14,1,
213,purfin,Haemorhous purpureus,Purple Finch,Purple Finch,landbird,Passeriformes,Fringillidae,8,1,
215,purmar,Progne subis,Purple Martin,Purple Martin,landbird,Passeriformes,Hirundinidae,9,2,
218,rebnut,Sitta canadensis,Red-breasted Nuthatch,Red-breasted Nuthatch,landbird,Passeriformes,Sittidae,7,1,
220,redcro,Loxia curvirostra,Red Crossbill,Red Crossbill,landbird,Passeriformes,Fringillidae,9,1,
224,reevir1,Vireo olivaceus,Red-eyed Vireo,Red-eyed Vireo,landbird,Passeriformes,Vireonidae,5,1,
230,rewbla,Agelaius phoeniceus,Red-winged Blackbird,Red-winged Blackbird,landbird,Passeriformes,Icteridae,8,2,
234,robgro,Pheucticus ludovicianus,Rose-breasted Grosbeak,Rose-breasted Grosbeak,landbird,Passeriformes,Cardinalidae,10,1,
242,ruckin,Corthylio calendula,Ruby-crowned Kinglet,Ruby-crowned Kinglet,landbird,Passeriformes,Regulidae,7,1,
246,rusbla,Euphagus carolinus,Rusty Blackbird,Rusty Blackbird,landbird,Passeriformes,Icteridae,12,1,
251,savspa,Passerculus sandwichensis,Savannah Sparrow,Savannah Sparrow,landbird,Passeriformes,Passerellidae,10,1,
252,scatan,Piranga olivacea,Scarlet Tanager,Scarlet Tanager,landbird,Passeriformes,Cardinalidae,12,1,
253,sedwre1,Cistothorus stellaris,Sedge Wren,Sedge Wren,landbird,Passeriformes,Troglodytidae,9,1,
258,snobun,Plectrophenax nivalis,Snow Bunting,Snow Bunting,landbird,Passeriformes,Calcariidae,11,1,
264,sonspa,Melospiza melodia,Song Sparrow,Song Sparrow,landbird,Passeriformes,Passerellidae,9,1,
269,sumtan,Piranga rubra,Summer Tanager,Summer Tanager,landbird,Passeriformes,Cardinalidae,8,1,
271,swaspa,Melospiza georgiana,Swamp Sparrow,Swamp Sparrow,landbird,Passeriformes,Passerellidae,7,2,
272,swathr,Catharus ustulatus,Swainson's Thrush,Swainson's Thrush,landbird,Passeriformes,Turdidae,9,1,
273,swawar,Limnothlypis swainsonii,Swainson's Warbler,Swainson's Warbler,landbird,Passeriformes,Parulidae,13,1,
275,tenwar,Leiothlypis peregrina,Tennessee Warbler,Tennessee Warbler,landbird,Passeriformes,Parulidae,10,1,
276,treswa,Tachycineta bicolor,Tree Swallow,Tree Swallow,landbird,Passeriformes,Hirundinidae,10,2,
279,tuftit,Baeolophus bicolor,Tufted Titmouse,Tufted Titmouse,landbird,Passeriformes,Paridae,7,1,
283,veery,Catharus fuscescens,Veery,Veery,landbird,Passeriformes,Turdidae,11,1,
284,vesspa,Pooecetes gramineus,Vesper Sparrow,Vesper Sparrow,landbird,Passeriformes,Passerellidae,11,1,
287,warvir,Vireo gilvus,Warbling Vireo,Warbling Vireo,landbird,Passeriformes,Vireonidae,8,1,
291,whbnut,Sitta carolinensis,White-breasted Nuthatch,White-breasted Nuthatch,landbird,Passeriformes,Sittidae,6,1,
292,whcspa,Zonotrichia leucophrys,White-crowned Sparrow,White-crowned Sparrow,landbird,Passeriformes,Passerellidae,9,1,
293,whevir,Vireo griseus,White-eyed Vireo,White-eyed Vireo,landbird,Passeriformes,Vireonidae,7,1,
296,whtspa,Zonotrichia albicollis,White-throated Sparrow,White-throated Sparrow,landbird,Passeriformes,Passerellidae,9,1,
297,whwcro,Loxia leucoptera,White-winged Crossbill,White-winged Crossbill,landbird,Passeriformes,Fringillidae,6,1,
299,wilfly,Empidonax traillii,Willow Flycatcher,Willow Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,
304,winwre3,Troglodytes hiemalis,Winter Wren,Winter Wren,landbird,Passeriformes,Troglodytidae,12,1,
305,wlswar,Cardellina pusilla,Wilson's Warbler,Wilson's Warbler,landbird,Passeriformes,Parulidae,9,1,
306,woewar1,Helmitheros vermivorum,Worm-eating Warbler,Worm-eating Warbler,landbird,Passeriformes,Parulidae,13,1,
309,woothr,Hylocichla mustelina,Wood Thrush,Wood Thrush,landbird,Passeriformes,Turdidae,14,1,
313,yebcha,Icteria virens,Yellow-breasted Chat,Yellow-breasted Chat,landbird,Passeriformes,Icteriidae,10,1,
315,yebfly,Empidonax flaviventris,Yellow-bellied Flycatcher,Yellow-bellied Flycatcher,landbird,Passeriformes,Tyrannidae,10,1,
317,yelwar,Setophaga petechia,Yellow Warbler,Yellow Warbler,landbird,Passeriformes,Parulidae,8,1,
318,yerwar,Setophaga coronata,Yellow-rumped Warbler,Yellow-rumped Warbler,landbird,Passeriformes,Parulidae,8,1,
319,yetvir,Vireo flavifrons,Yellow-throated Vireo,Yellow-throated Vireo,landbird,Passeriformes,Vireonidae,10,1,
320,yetwar,Setophaga dominica,Yellow-throated Warbler,Yellow-throated Warbler,landbird,Passeriformes,Parulidae,10,1,
5,amebit,Botaurus lentiginosus,American Bittern,American Bittern,waterbird,Pelecaniformes,Ardeidae,12,3,
15,amwpel,Pelecanus erythrorhynchos,American White Pelican,American White Pelican,waterbird,Pelecaniformes,Pelecanidae,10,4,
26,bcnher,Nycticorax nycticorax,Black-crowned Night Heron,Black-crowned Night-Heron,waterbird,Pelecaniformes,Ardeidae,10,3,
52,brnpel,Pelecanus occidentalis,Brown Pelican,Brown Pelican,waterbird,Pelecaniformes,Pelecanidae,11,4,
72,categr,Bubulcus ibis/coromandus,Western/Eastern Cattle Egret,Cattle Egret,waterbird,Pelecaniformes,Ardeidae,9,3,
118,gloibi,Plegadis falcinellus,Glossy Ibis,Glossy Ibis,waterbird,Pelecaniformes,Threskiornithidae,8,3,
124,grbher3,Ardea herodias,Great Blue Heron,Great Blue Heron,waterbird,Pelecaniformes,Ardeidae,8,3,
127,greegr,Ardea alba,Great Egret,Great Egret,waterbird,Pelecaniformes,Ardeidae,6,3,
131,grnher,Butorides virescens,Green Heron,Green Heron,waterbird,Pelecaniformes,Ardeidae,12,3,
156,leabit,Ixobrychus exilis,Least Bittern,Least Bittern,waterbird,Pelecaniformes,Ardeidae,10,3,
162,libher,Egretta caerulea,Little Blue Heron,Little Blue Heron,waterbird,Pelecaniformes,Ardeidae,12,3,
221,redegr,Egretta rufescens,Reddish Egret,Reddish Egret,waterbird,Pelecaniformes,Ardeidae,15,3,
239,rosspo1,Platalea ajaja,Roseate Spoonbill,Roseate Spoonbill,waterbird,Pelecaniformes,Threskiornithidae,9,3,
259,snoegr,Egretta thula,Snowy Egret,Snowy Egret,waterbird,Pelecaniformes,Ardeidae,7,3,
277,triher,Egretta tricolor,Tricolored Heron,Tricolored Heron,waterbird,Pelecaniformes,Ardeidae,12,3,
294,whfibi,Plegadis chihi,White-faced Ibis,White-faced Ibis,waterbird,Pelecaniformes,Threskiornithidae,7,3,
295,whiibi,Eudocimus albus,White Ibis,White Ibis,waterbird,Pelecaniformes,Threskiornithidae,9,3,
312,ycnher,Nyctanassa violacea,Yellow-crowned Night Heron,Yellow-crowned Night-Heron,waterbird,Pelecaniformes,Ardeidae,12,3,
33,bkbwoo,Picoides arcticus,Black-backed Woodpecker,Black-backed Woodpecker,landbird,Piciformes,Picidae,8,1,
96,dowwoo,Dryobates pubescens,Downy Woodpecker,Downy Woodpecker,landbird,Piciformes,Picidae,8,1,
136,haiwoo,Dryobates villosus,Hairy Woodpecker,Hairy Woodpecker,landbird,Piciformes,Picidae,6,1,
185,norfli,Colaptes auratus,Northern Flicker,Northern Flicker,landbird,Piciformes,Picidae,10,1,
206,pilwoo,Dryocopus pileatus,Pileated Woodpecker,Pileated Woodpecker,landbird,Piciformes,Picidae,7,1,
219,rebwoo,Melanerpes carolinus,Red-bellied Woodpecker,Red-bellied Woodpecker,landbird,Piciformes,Picidae,7,1,
225,rehwoo,Melanerpes erythrocephalus,Red-headed Woodpecker,Red-headed Woodpecker,landbird,Piciformes,Picidae,12,1,
316,yebsap,Sphyrapicus varius,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,landbird,Piciformes,Picidae,7,1,
80,clagre,Aechmophorus clarkii,Clark's Grebe,Clark's Grebe,waterbird,Podicipediformes,Podicipedidae,11,5,
143,horgre,Podiceps auritus,Horned Grebe,Horned Grebe,waterbird,Podicipediformes,Podicipedidae,13,5,
158,leagre,Tachybaptus dominicus,Least Grebe,Least Grebe,waterbird,Podicipediformes,Podicipedidae,8,5,
205,pibgre,Podilymbus podiceps,Pied-billed Grebe,Pied-billed Grebe,waterbird,Podicipediformes,Podicipedidae,8,5,
226,rengre,Podiceps grisegena,Red-necked Grebe,Red-necked Grebe,waterbird,Podicipediformes,Podicipedidae,9,5,
288,wesgre,Aechmophorus occidentalis,Western Grebe,Western Grebe,waterbird,Podicipediformes,Podicipedidae,12,5,
48,brdowl,Strix varia,Barred Owl,Barred Owl,landbird,Strigiformes,Strigidae,7,1,
51,brnowl,Tyto alba,Barn Owl,Barn Owl,landbird,Strigiformes,Tytonidae,8,1,
101,easowl1,Megascops asio,Eastern Screech-Owl,Eastern Screech-Owl,landbird,Strigiformes,Strigidae,9,1,
130,grhowl,Bubo virginianus,Great Horned Owl,Great Horned Owl,landbird,Strigiformes,Strigidae,8,1,
167,loeowl,Asio otus,Long-eared Owl,Long-eared Owl,landbird,Strigiformes,Strigidae,10,1,
194,nswowl,Aegolius acadicus,Northern Saw-whet Owl,Northern Saw-whet Owl,landbird,Strigiformes,Strigidae,8,1,
256,sheowl,Asio flammeus,Short-eared Owl,Short-eared Owl,landbird,Strigiformes,Strigidae,12,1,
261,snoowl1,Bubo scandiacus,Snowy Owl,Snowy Owl,landbird,Strigiformes,Strigidae,13,1,
16,anhing,Anhinga anhinga,Anhinga,Anhinga,waterbird,Suliformes,Anhingidae,8,3,
95,doccor,Nannopterum auritum,Double-crested Cormorant,Double-crested Cormorant,waterbird,Suliformes,Phalacrocoracidae,8,3,
126,grecor,Phalacrocorax carbo,Great Cormorant,Great Cormorant,waterbird,Suliformes,Phalacrocoracidae,10,3,
182,neocor,Nannopterum brasilianum,Neotropic Cormorant,Neotropic Cormorant,waterbird,Suliformes,Phalacrocoracidae,6,3,
